,team,player,position,to,hall_of_fame,all_pro,pro_bowl,starter,carAV,drAV,games,pass_comp,pass_att,pass_yards,pass_tds,pass_int,rush_att,rush_yards,rush_tds,receptions,rec_yards,rec_tds,interceptions,sacks,tackles
0,PIT,Terry Bradshaw,QB,1983.0,True,1,3,13,106.0,106.0,168.0,2025.0,3901.0,27989.0,212.0,210.0,444.0,2257.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0
1,GNB,Mike McCoy,DT,1980.0,False,0,0,7,44.0,41.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,213.0
2,CLE,Mike Phipps,QB,1981.0,False,0,0,5,40.0,32.0,119.0,886.0,1799.0,10506.0,55.0,108.0,254.0,1278.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
3,BOS,Phil Olsen,DT,1976.0,False,0,0,1,20.0,7.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,53.0
4,BUF,Al Cowlings,DE,1979.0,False,0,0,5,26.0,15.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,204.0
5,PHI,Steve Zabel,LB,1979.0,False,0,0,7,42.0,19.0,124.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,0.0,10.0,123.0,3.0,6.0,19.0,442.0
6,CIN,Mike Reid,DT,1974.0,False,1,2,5,36.0,36.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,166.0
7,STL,Larry Stegent,RB,1971.0,False,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0
8,SFO,Cedrick Hardman,DE,1981.0,False,0,2,9,54.0,52.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,353.0
9,NOR,Ken Burrough,WR,1981.0,False,0,2,9,66.0,1.0,156.0,0.0,3.0,0.0,0.0,0.0,17.0,63.0,1.0,421.0,7102.0,49.0,0.0,0.0,0.0
